session_id,user_id,campaign_id,session_start,session_end,device_type,country,utm_campaign,utm_source,utm_medium
S0000019,U006081,C00101,2024-03-04 03:14:57,2024-03-04 03:21:29,mobile,MX,Clearance 2025 – Bedroom,direct,none
S0000020,U006555,C00044,2024-05-23 00:25:08,2024-05-23 00:29:33,mobile,US,Holiday Prep 2025 – Storage,organic,organic
S0000021,U004270,C00777,2024-03-01 06:10:25,2024-03-01 06:21:47,mobile,CA,Back to School 2024 – Outdoor,organic,EMAIL
S0000022,,,2025-01-30 06:38:51,2025-01-30 06:39:51,mobile,usa,,organic,organic
S0000023,U006058,C00281,2025-07-13 14:05:36,,MOBILE,US,,facebook,referral
S0000024,U007998,C00659,2024-10-22 07:28:35,2024-10-22 07:36:17,mobile,United Kingdom,Weekend Flash 2025 – Kitchen,google  ,cpc
S0000025,U006444,C00486,2024-05-16 07:01:41,2024-05-16 07:05:56,mobile,US,Clearance  2025  –  Bath,facebook,cpc
S0000026,U006806,,2024-05-29 00:58:24,2024-05-29 01:02:06,desktop,US,,organic,organic
S0000027,U006543,,2025-01-05 08:57:12,,mobile,US,New Arrivals 2026 – Kitchen,google,none
S0000028,U001016,C00255,2025-04-23 07:05:56,2025-04-23 07:08:57,mobile   ,CA,,referral,cpc
S0000029,U005982,C00039,2025-03-10 13:42:24,,desktop,US,,organic,organic
S0000030,U003284,C00662,2024-03-13 13:06:18,2024-03-13 13:11:58,tablet,US,,organic,organic
S0000031,U001247,C00770,2024-12-17 00:27:18,2024-12-17 00:28:35,desktop,US,Holiday Prep 2024 – Decor,email,cpc
S0000032,,,2024-11-14 14:49:31,2024-11-14 14:51:33,mobile,CA,,organic,organic
S0000033,U008510,C00785,2025-04-10 16:58:43,2025-04-10 17:06:40,mobile,US  ,Back to School 2025 – Bath,FACEBOOK,social
S0000034,U004082,C00063,2025-10-22 14:51:18,2025-10-22 14:54:43,desktop,US,Bundle & Save 2025 – Kitchen,email,email
S0000035,U001066,,2024-08-30 02:17:46,2024-08-30 02:24:23,mobile,US,,email,cpc
S0000036,U003272,C00180,2024-10-22 08:46:24,2024-10-22 08:54:15,desktop,CA,Cozy Home 2024 – Kitchen,google,organic
S0000037,U002301,C00662,2024-08-18 06:49:08,2024-08-18 06:54:12,mobile,US,,facebook,social
S0000038,U003702,C00230,2025-07-08 08:26:54,2025-07-08 08:32:58,mobile,us,Bundle & Save 2024 – Bedroom,referral,cpc
S0000039,U007358,,2025-05-23 16:29:22,2025-05-23 16:34:39,desktop,MX,,facebook,social
S0000040,U007475,C00102,2025-04-20 06:58:50,2025-04-20 07:02:24,desktop,US,,google,organic
S0000041,U009042,C00136,2025-12-25 02:23:50,2025-12-25 02:27:25,desktop,US,,google,cpc
S0000042,U009376,C00788,2025-05-19 18:27:07,2025-05-19 18:32:51,mobile,US,SUMMER  SALE  2025  –  DECOR    ,google,  cpc 
S0000043,,C00149,2024-06-08 12:07:11,2024-06-08 12:08:44,desktop,Mexico    ,Bundle & Save 2026 – Office,google,email
S0000044,,C00360,2024-06-27 14:11:12,2024-06-27 14:14:14,mobile,CA,NEW ARRIVALS 2025 – LIGHTING,email,email
S0000045,U007803,,2025-12-10 10:23:08,2025-12-10 10:25:22,mobile,IN,,direct,cpc
S0000046,U007745,,2025-12-16 14:13:29,,desktop,CA,,google,organic
S0000047,U002536,,2025-02-14 02:10:44,2025-02-14 02:16:25,MOBILE,US,,google,none
S0000048,U007919,C00470,2025-04-21 20:04:19,2025-04-21 20:04:24,DESKTOP,India,Clearance 2025 – Bath,organic,organic
S0000049,,C00588,2025-12-23 13:49:43,2025-12-23 13:52:53,MOBILE,US,Weekend Flash 2025 – Kitchen,google,cpc
S0000050,U002266,,2025-01-27 00:14:14,2025-01-27 00:18:16,TABLET,US,,organic,organic
S0000051,,,2024-03-03 13:34:39,2024-03-03 13:36:52,    mobile  ,United States,,email,email
S0000052,U008073,C00092,2025-06-17 12:18:50,,tablet,US,Weekend Flash 2025 – Kitchen,GOOGLE,none
S0000053,,,2025-06-25 07:11:47,2025-06-25 07:21:13,mobile,usa,,direct,social
S0000054,U006623,,2024-06-18 18:25:44,2024-06-18 18:27:26,mobile,US,,facebook,cpc
S0000055,U009316,C00169,2024-12-06 11:11:54,2024-12-06 11:15:35,tablet,AU,New Arrivals 2024 – Office,google,none
S0000056,,,2025-10-13 17:59:36,2025-10-13 17:55:10,mobile,FR,,direct,none
S0000057,U001107,C00360,2025-09-25 17:32:33,2025-09-25 17:35:36,desktop,UK,NEW ARRIVALS 2025 – LIGHTING,direct,none
S0000058,,,2024-11-20 18:55:19,2024-11-20 19:01:07,desktop,Australia,,direct,none
S0000059,U003837,,2025-04-17 20:32:15,2025-04-17 20:35:05,mobile,US,,google,CPC
S0000060,U000860,C00061,2025-03-30 06:36:22,2025-03-30 06:38:50,mobile,MX,,organic,organic
S0000061,U009081,,2025-05-18 13:55:59,2025-05-18 13:59:39,desktop,US,,email,organic
S0000062,U002602,C00784,2025-07-02 13:18:09,2025-07-02 13:21:15,MOBILE   ,UK,Weekend Flash 2026 – Kitchen,email,email
S0000063,,,2024-01-27 09:27:05,2024-01-27 09:30:37,mobile,United States,,direct,social
S0000064,U004288,C00087,2025-12-07 08:43:13,2025-12-07 08:46:58,mobile,us,Back to School 2024 – Kitchen,organic,organic
S0000065,U007999,C00645,2024-10-03 04:51:26,2024-10-03 04:57:50,  mobile  ,United States,,ORGANIC,organic
S0000066,U001448,,2024-11-20 14:37:18,2024-11-20 14:40:22,desktop,US,Clearance 2025 – Bedroom,google,organic
S0000067,U008033,C00777,2025-12-11 13:47:17,2025-12-11 13:51:43,mobile,Canada,Back to School 2024 – Outdoor,direct,organic
S0000068,U002301,,2024-10-11 04:54:18,2024-10-11 05:00:05,desktop,US,,direct,email
S0000069,U005529,C00777,2025-12-06 09:57:11,2024/02/30 12:15:00,mobile,  Canada      ,Back to School 2024 – Outdoor,google,email
S0000070,U003965,C00281,2024-04-06 04:14:30,2024-04-06 04:16:22,desktop,US,,google,organic
S0000071,U003991,,2024-11-29 03:53:35,2024-11-29 03:58:32,mobile,US,,organic,organic
S0000072,U001968,,2025-07-25 11:15:41,2025-07-25 11:18:50,desktop,US,,direct    ,none
S0000073,U006741,C00386,2024-08-14 07:36:53,2024-08-14 07:47:44,mobile,US,Summer Sale 2025 – Bedroom,google,SOCIAL
S0000074,U003158,,2025-07-14 20:07:50,2025-07-14 20:14:10,mobile,US,,google,none
S0000075,U008748,C00538,2024-11-30 19:43:44,2024-11-30 19:50:13,mobile,UK,Bundle & Save 2025 – Lighting,direct ,none
S0000076,,C00090,2025-01-13 07:55:20,2025-01-13 07:57:55,mobile,United States,,facebook    ,cpc
S0000077,U003367,C00102,2025-11-14 11:25:58,2025-11-14 11:30:07,desktop,US,,organic,organic
S0000078,U002303,C00477,2024-06-10 08:51:30,2024-06-10 08:53:46,desktop,US,CLEARANCE 2026 – DECOR,ORGANIC,organic
S0000079,U006462,C00108,2025-11-08 15:56:37,2025-11-08 16:00:44,desktop,usa,Cozy Home 2024 – Bath,facebook,none
S0000080,,C00524,2025-10-27 21:33:53,,desktop,CA,HOLIDAY PREP 2024 – OUTDOOR,facebook,social
S0000081,U003083,,2024-11-20 18:34:21,,mobile,US,,google,organic
S0000082,U001487,C00169,2025-05-27 11:18:12,2025-05-27 11:25:19,desktop,MX,New Arrivals 2024 – Office,referral,referral
S0000083,U004232,C00420,2025-09-24 03:08:31,2025-09-24 03:13:57,mobile, United States ,Cozy Home 2025 – Outdoor,google,  cpc  
S0000084,,C00147,2025-02-15 03:06:28,2025-02-15 03:14:28,desktop,US,,google,none
S0000085,,C00281,2024-03-23 02:07:55,2024-03-23 02:01:16,tablet,US,,google,social
S0000086,,C00307,2024-11-02 14:53:42,2024-11-02 14:55:13,MOBILE,Canada,Back to School 2026 – Kitchen,google,organic
S0000087,U002628,C00010,2024-03-13 10:32:20,2024-03-13 10:37:15,mobile,US,Back To School 2025 – Decor,google,organic
S0000088,U004966,C00526,2024-02-26 15:25:54,2024-02-26 15:30:52,mobile,FR,New Arrivals 2024 – Decor,google,cpc
S0000089,U002301,C00295,2024-05-07 04:28:23,2024-05-07 04:34:13,mobile,us,Clearance 2025 – Bath,direct,none
S0000090,U001789,C00346,2025-01-30 01:47:58,2025-01-30 01:51:49,mobile,BR,Cozy Home 2024 – Kitchen,referral,referral
S0000091,U003690,,2024-03-06 17:25:57,2024-03-06 17:29:45,mobile,UK,,direct,none
S0000092,U000389,C00601,2025-01-14 15:03:25,2025-01-14 15:05:09,mobile,US,,facebook,cpc
S0000093,,,2024-03-13 18:48:53,2024-03-13 18:57:28,mobile,US,,google,cpc
S0000094,U004010,C00117,2025-05-14 05:02:55,2025-05-14 05:06:47, mobile ,US,Weekend Flash 2025 – Bedroom,organic,organic
S0000095,U009207,,2024-12-26 17:35:33,2024-12-26 17:39:09,mobile,United States,,organic,organic
S0000096,U008172,C00148,2024-05-02 13:47:35,,desktop,United States,Holiday Prep 2024 – Bath,facebook,cpc
S0000097,U007479,,2024-09-20 11:15:37,2024-09-20 11:19:44,mobile,United States,,facebook,cpc
S0000098,,C00059,2024-11-15 09:30:15,,mobile,US,,facebook,cpc
S0000099,U004671,,2025-07-21 15:09:04,2025-07-21 15:15:13,mobile,US,,email,email
S0000100,U000014,C00654,2024-12-08 19:27:37,2024-12-08 19:38:36,desktop,US,,direct,none
S0000101,U000848,,2024-04-10 14:48:04,2024-04-10 14:52:31,mobile,US,,organic,organic
S0000102,U009821,,2024-02-07 10:30:32,2024-02-07 10:35:30,mobile,France,,direct,cpc
S0000103,U009958,,2025-12-21 20:29:55,2025-12-21 20:34:12,desktop,US,,google,cpc
S0000104,U000322,C00346,2024-04-07 07:13:08,2024-04-07 07:18:57,desktop,United States,Cozy Home 2024 – Kitchen,email,email
S0000105,U004127,C00500,2024-08-24 11:54:02,2024-08-24 11:55:40,desktop,    usa    ,summer sale 2026 – kitchen,referral,none
S0000106,U009548,C00146,2025-06-30 01:04:51,2025-06-30 01:10:32,mobile,US,Cozy Home 2025 – Kitchen,facebook,email
S0000107,U008582,,2025-06-15 09:56:54,2025-06-15 10:06:54,mobile,US,,google,organic
S0000108,U009316,,2024-07-27 08:35:38,2024-07-27 08:38:26,desktop,US,,google,organic
S0000109,,C00020,2025-01-25 05:35:28,2025-01-25 05:41:04,MOBILE,US,New Arrivals 2024 – Decor,email,email
S0000110,U006430,,2024-10-28 00:41:23,2024-10-28 00:43:22,desktop,US,Weekend Flash 2025 – Outdoor,google,organic
S0000111,U004926,C00162,2025-07-05 21:23:52,2025-07-05 21:30:31,mobile,UK,Cozy Home 2025 – Kitchen,referral, none
S0000112,U005045,C00284,2025-08-17 10:10:41,2025-08-17 10:14:46,tablet,CA,holiday  prep  2024  –  decor    ,google,cpc
S0000113,U004310,,2024-01-07 21:10:58,2024-01-07 21:14:29,desktop,CA,,facebook,social
S0000114,U007513,C00248,2024-12-01 14:00:57,,desktop,US,,organic, organic
S0000115,U003145,C00622,2026-01-01 07:29:20,2026-01-01 07:33:20,desktop,United States,Weekend Flash 2025 – Decor,organic,organic
S0000116,U000740,,2025-03-24 06:34:05,2025-03-24 06:41:30,desktop,usa,,organic,organic
S0000117,U000381,,2024-07-26 21:40:53,2024-07-26 21:52:43,mobile,US,,facebook,cpc
S0000118,U000076,C00645,2024-05-04 16:18:35,2024-05-04 16:24:45,mobile,US,Bundle & Save 2024 – Decor,referral,none
S0000119,U001207,,2024-08-24 22:03:52,2024-08-24 22:12:21,  mobile    ,AU,,facebook,social
S0000120,U006181,,2025-01-20 03:52:21,,TABLET,US,,facebook,social
S0000121,,C00510,2024-08-05 12:09:57,2024-08-05 12:19:23,mobile,US,New Arrivals 2025 – Decor,organic,organic
S0000122,U006180,,2025-08-15 15:08:42,2025-08-15 15:12:28,tablet,US,,organic,organic
S0000123,U009611,,2024-12-23 23:33:14,2024-12-23 23:40:40,mobile,Canada,,direct,none
S0000124,,,2024-11-02 23:30:03,2024-11-02 23:36:57,mobile,US,,google,organic
S0000125,U009336,C00061,2024-08-17 22:19:16,2024-08-17 22:24:42,mobile,US,,google,cpc
S0000126,U004911,,2025-01-10 16:02:17,,mobile,India,,organic,organic
S0000127,U009207,,2025-06-17 02:55:25,2025-06-17 02:59:23,tablet,US,,google,organic
S0000128,U001146,,2025-02-01 23:55:01,2025-02-01 23:57:07,desktop,US,,google,referral
S0000129,U000720,C00136,2025-03-12 04:42:52,2025-03-12 04:45:34,desktop,United States,,facebook,social
S0000130,,,2025-10-01 21:05:10,2025-10-01 21:08:17,desktop,US,,email,email
S0000131,U002229,,2026-01-11 23:15:35,2026-01-11 23:18:27,mobile,United States,,direct,none
S0000132,U006317,,2025-08-20 14:11:11,2025-08-20 14:17:33,desktop,US,,google,cpc
S0000133,U003956,,2024-10-03 22:04:53,2024-10-03 22:13:59,mobile,us,,email  ,email
S0000134,U005197,C00780,2025-10-21 10:14:04,,mobile,United States,,organic,organic
S0000135,,C00136,2024-05-30 20:54:11,2024-05-30 20:59:36,desktop,France,weekend flash 2024 – bedroom,direct,none
S0000136,U007032,C00662,2024-05-25 13:32:11,2024-05-25 13:35:27,mobile,US,Clearance 2025 – Kitchen,facebook,cpc
S0000137,U009379,C00489,2024-07-17 12:35:48,2024-07-17 12:38:21,mobile,us,,google,cpc
S0000138,,C00538,2024-11-16 05:47:26,2024-11-16 05:49:17,mobile,US,Bundle & Save 2025 – Lighting,google,none
S0000139,U000428,C00102,2024-12-15 18:48:52,2024-12-15 18:51:43,mobile,us,weekend flash 2025 – decor,email,email
S0000140,,,2024-06-25 17:42:07,2024-06-25 17:45:39,mobile,us,,referral,NONE
S0000141,U000611,,2024-09-09 16:05:59,2024-09-09 16:08:19,mobile,US,,google,none
S0000142,U004446,C00094,2024-11-09 14:16:11,2024-11-09 14:22:19,desktop,CA,Weekend Flash 2024 – Storage,google,none
S0000143,U003722,C00020,2025-08-21 15:11:13,2025-08-21 15:14:12,desktop,US,New Arrivals 2024 – Decor,email,email
S0000144,,,2025-07-08 12:52:38,2025-07-08 12:59:28,mobile,US,,google,cpc
S0000145,U003967,C00588,2025-08-20 13:10:23,2025-08-20 13:18:37,mobile,US,Weekend Flash 2025 – Kitchen,DIRECT,none
S0000146,U009604,,2024-12-14 23:20:12,01-99-2025 25:61:00,mobile,US,,organic,organic
S0000147,U009747,,2024-09-15 04:34:09,2024-09-15 04:37:12,desktop,US,,direct,none
S0000148,U008435,,2024-01-06 19:35:55,2024-01-06 19:43:30,mobile,us,,google,CPC
S0000149,U001198,,2024-01-31 20:25:30,2024-01-31 20:31:19,desktop,MX,,google,cpc
S0000150,U008951,,2025-05-06 12:19:26,2025-05-06 12:23:25,  mobile  ,US,,referral,none
S0000151,U006125,,2024-06-15 23:26:54,2024-06-15 23:31:35,desktop,Canada,,google,none
S0000152,U005647,C00135,2025-02-26 17:59:00,2025-02-26 18:02:12,mobile,United States,Back to School 2024 – Decor,direct,none
S0000153,U007254,,2025-11-03 05:04:01,2025-11-03 05:06:03,mobile,France ,,referral,social 
S0000154,U003994,,2025-12-24 12:13:13,2025-12-24 12:19:09,desktop, UK ,,google,cpc
S0000155,U002703,,2025-01-03 00:27:28,2025-01-03 00:32:30,desktop,US,,facebook,social
S0000156,U001939,C00010,2024-11-21 04:02:57,2024-11-21 04:09:11,desktop,MX  ,Back to School 2025 – Decor,email,email   
S0000157,U007669,C00056,2025-04-17 10:28:43,2025-04-17 10:32:47,mobile,US,,GOOGLE,organic
S0000158,U007213,C00404,2024-08-09 23:31:28,2024-08-09 23:33:40,mobile,usa,Cozy Home 2025 – Outdoor,direct,none
S0000159,,C00117,2024-07-23 10:44:53,2024-07-23 10:48:05,mobile,US,Weekend Flash 2025 – Bedroom,ORGANIC,organic
S0000160,U000897,C00163,2025-07-13 22:57:26,,mobile,Canada,Summer Sale 2024 – Office,google,cpc  
S0000161,U003182,C00622,2024-09-29 14:43:32,2024-09-29 14:49:15,mobile,US,Weekend Flash 2025 – Decor,facebook,social
S0000162,U005031,,2025-06-20 04:38:56,2025-06-20 04:46:50,mobile,US,,google,cpc
S0000163,U002333,C00477,2025-03-29 22:01:48,2025-03-29 22:07:13,MOBILE,UK,Clearance 2026 – Decor,GOOGLE,organic
S0000164,U000038,C00050,2025-05-18 05:52:04,2025-05-18 06:03:08,desktop,united states,Weekend Flash 2026 – Kitchen,direct,none
S0000165,U004079,C00597,2024-11-04 22:25:00,2024-11-04 22:29:23,mobile,united states,New Arrivals 2024 – Lighting,email,email
S0000166,,,2024-01-26 22:46:04,2024-01-26 22:50:04,mobile,US,,  organic  ,social
S0000167,,C00235,2024-12-26 18:03:42,2024-12-26 18:07:05,tablet,US,Bundle  &  Save  2024  –  Bedroom  ,facebook,social
S0000168,U004544,C00010,2025-06-05 18:49:46,2025-06-05 18:54:52,desktop,DE,Back to School 2025 – Decor,google,organic
S0000169,U008639,,2024-02-25 05:38:29,2024-02-25 05:40:36,DESKTOP,US,,google,cpc
S0000170,U007515,,2024-02-08 14:17:38,2024-02-08 14:26:55,desktop,US,,google,none
S0000171,U009674,C00020,2024-02-16 17:27:52,2024-02-16 17:37:48,mobile,US,New Arrivals 2024 – Decor,organic,organic
S0000172,U005030,,2025-12-13 12:03:17,2025-12-13 12:06:25,DESKTOP,  US,,google,cpc
S0000173,U000258,C00010,2024-08-25 13:40:07,2024-08-25 13:42:47,desktop,US,Back to School 2025 – Decor,facebook,social
S0000174,U007264,C00010,2025-03-03 01:24:26,2025-03-03 01:28:26,mobile,US,Back to School 2025 – Decor,facebook,social
S0000175,U009632,,2024-07-28 02:54:22,2024-07-28 02:56:50,desktop,  Mexico   ,,google,none
S0000176,U004752,C00066,2025-01-20 00:53:16,2025-01-20 00:59:49,mobile,us,Summer Sale 2024 – Decor,facebook,organic
S0000177,U000249,C00597,2025-12-16 12:39:13,,mobile,United States,New Arrivals 2024 – Lighting,  google  ,none
S0000178,U002043,C00590,2024-11-18 15:50:38,2024-11-18 15:54:00,MOBILE,Brazil,NEW ARRIVALS 2025 – OUTDOOR,google,cpc
S0000179,U008911,C00255,2025-06-08 14:35:10,2025-06-08 14:38:05,mobile,CA,Clearance 2026 – Kitchen,referral,referral
S0000180,U002824,,2024-05-25 10:43:06,2024-05-25 10:48:42,desktop,US,,organic,cpc
S0000181,U008146,C00780,2025-05-28 11:45:25,2025-05-28 11:50:44,mobile,US,New Arrivals 2024 – Bedroom,google,cpc
S0000182,U002343,C00691,2024-03-05 05:23:44,2024-03-05 05:30:33,desktop,us,,  direct ,none
S0000183,U009095,,2025-01-28 00:46:34,2025-01-28 00:50:25,desktop,US,,google,organic
S0000184,U005715,,2024-05-22 17:17:56,2024-05-22 17:23:33,mobile,US   ,,organic,organic
S0000185,U004364,C00022,2025-07-05 12:20:37,2025-07-05 12:23:11,desktop,FR,Clearance 2024 – Decor,google,none
S0000186,U004249,C00044,2024-10-09 12:39:16,2024-10-09 12:41:21,mobile,usa,Holiday Prep 2025 – Storage,google,cpc
S0000187,U008596,,2025-12-14 17:44:56,2025-12-14 17:46:25,mobile,UK,,google,none
S0000188,U009679,C00101,2024-05-25 22:19:26,2024-05-25 22:23:31,mobile,AU,Clearance 2025 – Bedroom,email,email
S0000189,U006462,C00255,2025-05-08 09:23:32,2025-05-08 09:28:17,desktop,US,clearance 2026 – kitchen,facebook,social
S0000190,U004298,,2025-04-30 06:38:11,2025-04-30 06:29:38,  mobile  ,US,,email,email
S0000191,U007246,C00005,2024-12-09 00:28:27,2024-12-09 00:31:21,  tablet ,Brazil,,ORGANIC,cpc
S0000192,U004096,,2025-04-05 03:42:46,2025-04-05 03:46:11,mobile,CA,,google,social
S0000193,U000648,C00056,2025-05-22 22:08:21,2025-05-22 22:12:27,mobile,US, Weekend Flash 2026 – Decor   ,email,email
S0000194,U005853,C00295,2025-05-13 09:04:22,2025-05-13 09:11:25,mobile,us,Clearance 2025 – Bath,email,email
S0000195,U007168,,2025-10-01 18:55:05,2025-10-01 18:58:17,mobile,United States,,referral,referral
S0000196,U009673,C00504,2025-06-20 10:44:57,2025-06-20 10:48:07,mobile,CA,New Arrivals 2025 – Office,google,cpc
S0000197,U003633,C00533,2025-02-17 14:25:21,2025-02-17 14:30:26,mobile,US,New Arrivals 2024 – Decor,google,CPC
S0000198,U000848,,2024-11-17 18:17:55,2024-11-17 18:22:21,mobile,US,,facebook,social
S0000199,U002043,C00050,2025-12-30 02:25:49,2025-12-30 02:28:48,mobile,United Kingdom,Weekend Flash 2026 – Kitchen,google,organic
S0000200,U006569,C00022,2024-12-17 08:14:26,2024-12-17 08:18:20,mobile,US,Clearance 2024 – Decor,direct,cpc
S0000201,U000669,C00340,2025-02-26 11:53:00,2025-02-26 11:58:00,mobile,US,Summer Sale 2025 – Kitchen,google,referral
S0000202,U004911,C00489,2024-07-22 06:44:47,2024-07-22 06:49:58,desktop,United States,,google,organic
S0000203,U001713,C00146,2024-02-22 12:02:52,2024-02-22 12:06:35,mobile,US,,organic,organic
S0000204,U002922,C00176,2024-02-08 12:22:50,2024-02-08 12:27:55,mobile,us,back to school 2024 – decor,referral,referral
S0000205,U005685,,2025-10-21 09:15:23,2025-10-21 09:23:18,mobile,Canada,,google,cpc
S0000206,,C00216,2024-05-31 00:17:14,2024-05-31 00:22:40,mobile,US,Back to School 2026 – Kitchen,direct,NONE
S0000207,U008597,C00566,2025-01-28 13:53:13,2025-01-28 13:57:16,mobile,DE,,facebook,social
S0000208,U009657,C00136,2026-01-13 06:01:44,2026-01-13 06:06:42,mobile,India,Weekend Flash 2024 – Bedroom, facebook ,social
S0000209,U003056,,2025-11-04 03:35:34,2025-11-04 03:41:18,mobile,France,,direct,none
S0000210,,C00426,2025-02-23 01:32:55,2025-02-23 01:38:55,mobile,France,Cozy Home 2026 – Kitchen,organic,organic
S0000211,U003550,,2025-02-13 23:16:49,2025-02-13 23:22:25,desktop,United States,,google,cpc
S0000212,,C00426,2025-01-02 20:46:19,2025-01-02 20:53:52,mobile,usa,Cozy Home 2026 – Kitchen,email,organic
S0000213,U006581,,2024-04-13 18:37:18,2024-04-13 18:37:20,desktop,  US    ,,facebook,cpc
S0000214,U001034,C00174,2025-06-11 11:58:50,2025-06-11 12:02:39,mobile,US,Bundle & Save 2025 – Lighting,facebook,social
S0000215,U001682,C00153,2024-12-14 13:15:45,2024-12-14 13:18:31,mobile,US,,email,email
S0000216,U009626,C00777,2024-03-05 04:45:13,2024-03-05 04:49:53,mobile,United States,Back to School 2024 – Outdoor,direct,none
S0000217,U000047,C00038,2024-08-05 11:43:36,2024-08-05 11:49:04,    DESKTOP  ,US,,email,none
S0000218,U007663,C00651,2024-06-29 18:03:54,2024-06-29 18:09:00,mobile,US,BACK TO SCHOOL 2024 – DECOR,organic,social
S0000219,U007776,C00504,2024-05-28 07:53:58,2024-05-28 07:56:50,desktop,US,New Arrivals 2025 – Office,organic,organic
S0000220,,C00662,2025-03-30 17:27:17,,mobile,US,Clearance 2025 – Kitchen,facebook,organic
S0000221,U005829,,2024-08-26 05:24:12,2024-08-26 05:28:55,mobile,usa,,google,organic
S0000222,U000510,,2025-07-14 11:05:03,2025-07-14 11:08:42,desktop,US,,email,email
S0000223,U009183,,2024-05-22 19:57:12,2024-05-22 20:04:16,desktop,US,,google,none
S0000224,U008921,C00089,2024-01-04 00:10:48,2024-01-04 00:12:38,MOBILE    ,US,  Summer Sale 2025 – Office ,google,cpc
S0000225,U002542,C00061,2024-03-21 04:48:02,2024-03-21 04:52:41,mobile,UK,Summer Sale 2024 – Bedroom,google,email
S0000226,U003331,,2024-07-09 19:43:17,2024-07-09 19:46:49,mobile,MX,,google,cpc
S0000227,U002717,C00158,2024-02-13 13:16:58,2024-02-13 13:22:03,mobile,US,Bundle & Save 2025 – Lighting,organic,email
S0000228,,C00092,2025-04-03 17:06:54,2025-04-03 17:08:02,mobile,US,Weekend Flash 2025 – Kitchen,google,none
S0000229,U003814,,2025-10-01 16:17:57,2025-10-01 16:26:18,mobile,MX,,organic,organic
S0000230,U009748,C00087,2025-03-31 10:42:07,01-99-2025 25:61:00,mobile,United States,Back to School 2024 – Kitchen, referral ,email
S0000231,U003104,,2024-06-25 17:55:20,2024-06-25 17:58:11,desktop,MX,,google,cpc
S0000232,U007473,,2025-10-21 11:13:08,2025-10-21 11:14:17,mobile,US,,google,organic
S0000233,U005988,,2024-08-26 15:53:33,2024-08-26 15:57:06,mobile  ,DE,,facebook,none
S0000234,U000630,C00257,2025-02-08 14:03:17,2025-02-08 14:06:15,mobile,US,bundle & save 2025 – decor,google,none  
S0000235,U008419,C00582,2025-04-05 14:26:21,2025-04-05 14:30:51,mobile,IN,Cozy Home 2024 – Bedroom,organic,organic
S0000236,U001252,C00075,2024-04-11 16:33:07,2024-04-11 16:37:24,mobile,Canada,Summer Sale 2024 – Storage,direct,none
S0000237,,,2024-11-10 18:41:12,2024-11-10 18:44:40,mobile,IN,,facebook,cpc
S0000238,U001939,C00025,2026-01-04 23:26:58,2026-01-04 23:29:47,DESKTOP,US,    Bundle  &  Save  2026  –  Bedroom,email,cpc
S0000239,U004896,C00703,2024-04-14 13:43:40,2024-04-14 13:48:35,mobile,AU   ,Cozy Home 2025 – Bedroom,google,none
S0000240,,C00039,2024-05-23 21:39:53,2024-05-23 21:43:31,mobile,US,Cozy Home 2026 – Kitchen,email,organic
S0000241,U009822,,2024-07-31 17:43:43,2024-07-31 17:45:20,mobile,CA,,google,cpc
