conversion_id,session_id,user_id,conversion_type,amount,timestamp,campaign_id
V0000036,S0002731,U000253,purchase,25.56,2025-08-20 07:47:32,C00451
V0000037,S0002540,,purchase,43.82,2024-05-18 17:15:34,C00051
V0000038,S0002075,U003359,newsletter_signup,0.0,2025-01-10 00:34:28,C00426
V0000039,S0003280,,newsletter_signup,0.0,2024-05-03 22:24:33,
V0000040,S0004630,,purchase,26.39,2025-06-24 00:09:00,
V0000041,S0003797,,newsletter_signup,0.0,2025-11-08 05:38:41,
V0000042,S0003048,,purchase,63.77,2024-07-17 17:51:49,
V0000043,S0004126,,purchase,61.0,2024-11-14 20:22:43,C00174
V0000044,S0004370,U002093,newsletter_signup,0.0,2025-11-29 13:01:29,
V0000045,S0004625,,newsletter_signup,0.0,2025-06-30 21:17:22,C00360
V0000046,S0008659,U003552,purchase,109.21,2025-08-02 07:12:47,
V0000047,S0004401,U005415,purchase,-42.33,2024-06-16 15:25:59,
V0000048,S0000108,U009316,purchase,121.17,2024-07-27 08:48:11,
V0000049,S0008130,U005335,purchase,38.92,2025-11-22 13:36:35,C00136
V0000050,S0004837,U008435,newsletter_signup,0.0,2025-04-20 13:47:49,C00710
V0000051,S0009641,U000352,purchase,68.09,2025-04-25 00:38:24,
V0000052,S0009625,U006558,newsletter_signup,0.0,2025-02-18 13:23:31,C00280
V0000053,S0003877,,purchase,63.43,2025-11-02 06:48:22,
V0000054,S0001891,U001300,purchase,163.52,2025-05-14 13:18:05,C00582
V0000055,S0002259,,newsletter_signup,0.0,2024-04-11 07:49:31,C00477
V0000056,S0002115,,purchase,273.26,2025-10-31 21:15:53,C00420
V0000057,S0007936,U005038,purchase,95.8,2025-08-07 17:09:56,
V0000058,S0004989,U008125,newsletter_signup,0.0,2025-06-30 01:47:27,
V0000059,S0009299,U009855,newsletter_signup,0.0,2025-05-08 08:31:20,
V0000060,S0002107,U008623,purchase,130.04,2025-04-10 15:31:37,
V0000061,S0009180,U001176,purchase,116.06,2024-07-01 12:53:39,
V0000062,S0008797,U000667,purchase,67.26,2024-08-27 23:19:24,C00644
V0000063,S0007875,U002041,newsletter_signup,0.0,2024-04-02 20:50:42,C00023
V0000064,S0000777,U001895,newsletter_signup,0.0,2025-06-30 05:04:41,
V0000065,S0001089,,newsletter_signup,0.0,2024-11-11 23:44:49,
V0000066,S0009483,U007812,newsletter_signup,0.0,2025-04-04 22:42:09,
V0000067,S0003726,U005112,purchase,-26.36,2025-05-18 17:42:10,
V0000068,S0004699,U006412,purchase,71.09,2025-02-23 13:16:26,
V0000069,S0002469,U007744,purchase,89.24,2025-05-09 22:34:41,
V0000070,S0000342,U001608,PURCHASE,67.26,2025-06-10 18:53:23,C00257
V0000071,S0006010,,purchase,100.23,2025-10-31 20:48:14,
V0000072,S0003379,U005469,newsletter_signup,0.0,2025-01-14 02:53:36,
V0000073,S0001801,U007961,purchase,-76.84,2025-03-09 11:14:25,
V0000074,S0005693,U009085,newsletter_signup,0.0,2025-10-16 19:29:18,
V0000075,S0000042,U009376,newsletter_signup,0.0,2025-05-19 18:43:25,C00788
V0000076,S0005437,U007158,purchase,44.97,2024-05-05 23:50:21,C00146
V0000077,S0002981,,newsletter_signup,0.0,2025-10-26 20:56:54,
V0000078,S0001356,U003538,purchase,75.37,2024-11-04 01:51:29,C00631
V0000079,S0008134,U004245,purchase,63.98,2024-05-02 14:34:51,
V0000080,S0008019,U009207,purchase,24.01,2025-01-26 09:42:36,
V0000081,S0002638,U007907,newsletter_signup,0.0,2025-03-20 20:26:01,
V0000082,S0001786,U007519,newsletter_signup,0.0,2024-06-05 13:39:47,C00030
V0000083,S0007132,U009098,newsletter_signup,0.0,2024-07-23 04:55:26,
V0000084,S0002468,U002388,newsletter_signup,0.0,2024-05-07 00:32:17,
V0000085,S0000287,,newsletter_signup,0.0,2025-10-28 13:14:23,
V0000086,S0002007,U001836,purchase,88.11,2024-07-24 06:33:59,
V0000087,S0004934,U008748,newsletter_signup,0.0,2025-10-13 13:27:34,
V0000088,S0002468,U002388,newsletter_signup,0.0,2024-05-07 00:42:51,
V0000089,S0004607,,purchase,263.76,2025-08-22 17:38:38,C00777
V0000090,S0000337,,purchase,85.71,2024-08-20 01:16:06,C00059
V0000091,S0000497,,purchase,49.76,2024-02-24 00:49:30,
V0000092,S0005561,U000537,purchase,163.1,2025-07-03 05:22:31,C00063
V0000093,S0003307,U006647,purchase,57.74,2024-04-22 00:37:34,
V0000094,S0004579,U005567,newsletter_signup,0.0,2026-01-06 06:10:40,
V0000095,S0006193,U001238,purchase,52.24,2024-11-18 00:31:42,C00716
V0000096,S0008522,U003803,purchase,160.07,2025-08-21 02:18:47,C00566
V0000097,S0001761,U006133,newsletter_signup,0.0,2025-12-18 21:22:29,C00090
V0000098,S0004293,U005068,newsletter_signup,0.0,2024-08-18 14:16:25,C00101
V0000099,S0009488,,purchase,58.44,,
V0000100,S0002638,U007907,PURCHASE,70.92,2025-03-20 20:26:17,
V0000101,S0006966,U002083,purchase,270.44,2025-01-29 03:35:26,C00788
V0000102,S0009023,U005728,newsletter_signup,0.0,2026-01-06 21:14:43,C00420
V0000103,S0007431,U004465,purchase,130.31,2024-05-04 11:32:37,C00435
V0000104,S0009630,U008120,purchase,142.84,2026-01-11 11:18:16,C00153
V0000105,S0002934,U004411,newsletter_signup,0.0,2025-11-15 00:21:03,C00061
V0000106,S0002212,U008546,purchase,77.94,2024-08-25 09:11:39,C00255
V0000107,S0005407,,purchase,76.15,2025-05-12 07:29:34,
V0000108,S0001129,U008901,purchase,135.7,2025-03-10 12:38:11,C00338
V0000109,S0001963,,purchase,94.13,2024-03-01 17:34:00,C00494
V0000110,S0003637,,purchase,63.35,2025-12-20 02:57:49,C00691
V0000111,S0008481,U003452,newsletter_signup,0.0,2024-12-10 16:51:21,C00735
V0000112,S0006276,,purchase,47.16,2024-05-26 22:06:09,
V0000113,S0003462,U003529,purchase,101.03,2024-07-18 07:25:48,
V0000114,S0009488,U003830,purchase,-77.38,2024-08-31 23:46:08,
V0000115,S0003753,U000008,newsletter_signup,0.0,2024-09-07 02:27:17,
V0000116,S0007337,U005617,purchase,37.85,2025-12-24 04:05:07,C00271
V0000117,S0008946,,purchase,60.22,2024-12-10 11:41:14,C00052
V0000118,S0008430,U001992,purchase,92.84,2025-09-24 17:16:05,
V0000119,S0001132,,purchase,130.6,2025-07-09 10:56:39,
V0000120,S0006815,U008474,newsletter_signup,0.0,2025-02-07 04:16:12,C00249
V0000121,S0002263,U006643,purchase,174.14,2024-06-15 10:48:08,C00500
V0000122,S0003211,U007917,purchase,117.03,2025-04-24 09:18:40,C00340
V0000123,S0000575,U004820,purchase,70.18,2025-08-08 06:42:58,
V0000124,S0001942,,newsletter_signup   ,0.0,2024-08-01 16:57:26,C00366
V0000125,S0004570,U009188,purchase,45.5,2024-10-12 14:48:43,
V0000126,S0000627,U004793,newsletter_signup,0.0,2025-02-01 20:08:32,C00640
V0000127,S0002950,U009776,purchase,381.08,2025-06-09 23:29:07,C00063
V0000128,S0002839,U004007,newsletter_signup,0.0,2025-01-06 08:49:49,C00765
V0000129,S0001594,U000911,purchase,22.73,2025-06-19 14:55:59,C00061
V0000130,S0008448,,purchase,,2024-05-11 10:40:50,C00576
V0000131,S0005614,,purchase,49.17,2025-12-23 04:35:56,
V0000132,S0001426,,purchase,85.06,2025-09-04 13:48:57,C00596
V0000133,S0001598,,purchase,46.63,2025-06-13 03:11:14,C00780
V0000134,S0003603,U003847,purchase,125.44,2025-08-26 01:29:45,
V0000135,S0007320,U001611,purchase,31.91,2025-05-20 16:10:46,C00253
V0000136,S0007996,U009423,purchase,169.19,2026-01-03 07:57:51,
V0000137,S0006803,,newsletter_signup,0.0,2025-10-24 02:04:33,C00507
V0000138,S0000637,,purchase,5000.0,2025-09-03 03:12:04,C00050
V0000139,S0005128,,purchase,66.98,2024-05-10 17:37:26,C00496
V0000140,S0005546,U004934,purchase,62.71,2025-02-22 01:48:03,C00791
V0000141,S0007162,U001119,purchase  ,85.03,2025-01-30 02:53:46,
V0000142,S0005436,U001894,newsletter_signup,0.0,2024-08-02 01:19:37,C00153
V0000143,S0008628,U004495,newsletter_signup,0.0,2025-02-13 01:26:16,
V0000144,S0002499,U008932,purchase,95.61,2024-08-20 16:26:05,
V0000145,S0009488,U003830,newsletter_signup,0.0,2024-08-31 23:55:43,
V0000146,S0001411,U002832,purchase,88.29,2024-11-13 18:39:24,C00056
V0000147,S0005981,U009824,purchase,59.13,2025-04-15 17:35:30,
V0000148,S0001610,U000627,purchase,91.58,2025-08-18 03:32:43,
V0000149,S0006480,U008532,purchase,70.32,2024-02-17 10:32:57,C00789
V0000150,S0002474,U007717,purchase,79.15,2024-10-02 15:13:52,C00020
V0000151,S0009372,U006103,purchase,81.48,2024-01-04 03:31:40,C00056
V0000152,S0005976,,purchase,46.73,2025-04-28 12:55:52,
V0000153,S0007136,U003570,purchase,86.89,2025-06-23 11:57:00,C00451
V0000154,S0000998,U000483,purchase,83.36,2025-10-07 16:15:28,
V0000155,S0000717,U000516,newsletter_signup,0.0,2025-10-09 03:58:32,
V0000156,S0000641,,purchase,111.23,2025-06-12 18:21:24,C00342
V0000157,S0007564,U006787,newsletter_signup,0.0,2024-02-27 06:28:00,C00030
V0000158,S0003109,,newsletter_signup,0.0,2024-10-20 10:45:02,
V0000159,S0007353,U003626,newsletter_signup,0.0,2024-05-10 20:21:20,C00515
V0000160,S0004027,U007203,newsletter_signup,0.0,2024-01-19 17:51:48,C00691
V0000161,S0004934,U008748,purchase,135.43,2025-10-13 13:32:07,
V0000162,S0007485,,purchase,112.16,2025-11-13 13:54:42,
V0000163,S0000502,U008870,newsletter_signup,0.0,2024-09-25 10:53:20,C00759
V0000164,S0005965,U006268,newsletter_signup,0.0,2025-08-29 21:04:08,C00136
V0000165,S0004684,U001157,purchase,65.16,2025-07-16 06:17:14,
V0000166,S0001676,U009233,newsletter_signup,0.0,2025-01-27 09:36:50,
V0000167,S0001429,,newsletter_signup,0.0,2025-09-02 08:03:06,
V0000168,S0001867,,purchase,130.31,2024-10-09 17:25:29,C00101
V0000169,S0004813,,newsletter_signup,0.0,2025-04-15 05:25:46,C00338
V0000170,S0001000,U007633,purchase,124.58,2024-03-08 19:33:40,
V0000171,S0004967,,purchase,82.69,2025-04-05 01:24:43,C00691
V0000172,S0006017,U007817,purchase,56.57,2024-04-03 17:15:10,C00044
V0000173,S0007403,U001070,purchase,88.95,2024-02-08 19:22:36,
V0000174,S0003863,U000887,newsletter_signup,0.0,2025-10-26 13:31:49,
V0000175,S0006017,U007817,newsletter_signup,0.0,2024-04-03 17:00:04,
V0000176,S0009012,,purchase,63.85,2025-09-19 12:49:57,C00044
V0000177,S0002259,,newsletter_signup,0.0,2024-04-11 07:59:21,C00477
V0000178,S0001505,U004904,newsletter_signup,0.0,2024-02-25 22:46:22,C00252
V0000179,S0001294,U009293,newsletter_signup,0.0,2024-02-16 13:55:00,
V0000180,S0005005,U009248,newsletter_signup,0.0,2025-07-14 10:17:34,C00788
V0000181,S0005773,,newsletter_signup,0.0,2024-09-23 20:37:04,
V0000182,S0008808,U003905,purchase,77.91,2024-01-27 12:22:58,C00203
V0000183,S0004305,,purchase,133.51,2024-02-07 02:02:10,C00397
V0000184,S0007879,,newsletter_signup,0.0,2025-06-21 02:13:05,
V0000185,S0000683,,newsletter_signup,0.0,2025-08-30 06:48:33,
V0000186,S0004840,U005617,purchase,42.42,2024-12-28 21:39:25,
V0000187,S0005745,U004365,newsletter_signup,0.0,2025-05-24 05:28:32,C00546
V0000188,S0008919,,purchase,100.66,2024-06-26 06:55:17,
V0000189,S0005537,,purchase,37.36,2025-02-14 13:07:27,C00104
V0000190,S0008521,U002460,newsletter_signup,0.0,2025-08-12 06:13:30,C00052
V0000191,S0003108,U008825,newsletter_signup,0.0,2025-11-01 09:29:32,C00429
V0000192,S0003962,U000595,purchase,26.97,2025-12-28 00:38:30,
V0000193,S0005727,U008259,purchase,84.02,2024-02-18 04:20:39,
V0000194,S0003302,U003254,purchase,54.96,2025-10-01 13:42:24,C00169
V0000195,S0007661,U003898,newsletter_signup,0.0,2024-03-04 18:31:04,C00489
V0000196,S0000658,U001796,purchase,54.04,2025-07-16 20:50:33,
V0000197,S0001058,,purchase,56.95,2026-01-10 15:14:01,
V0000198,S0009196,,purchase,82.23,2024-01-28 13:27:43,C00427
V0000199,S0000665,,purchase,371.94,2025-08-28 11:30:05,C00345
V0000200,S0000844,U009756, NEWSLETTER_SIGNUP  ,0.0,2024-08-05 10:28:47,
V0000201,S0003093,,purchase,140.21,2025-03-29 15:36:18,
V0000202,S0007651,U002726,purchase,83.38,2024-02-15 19:03:28,C00262
V0000203,S0004724,U000980,newsletter_signup,0.0,2025-05-21 06:19:37,C00581
V0000204,S0002248,U005884,purchase,180.69,2024-12-30 07:43:05,
V0000205,S0007320,,newsletter_signup,0.0,2025-05-20 16:13:20,
V0000206,S0008925,,  newsletter_signup  ,0.0,2024-08-22 20:12:01,
V0000207,S0000038,U003702,newsletter_signup,0.0,2025-07-08 08:39:06,C00230
V0000208,S0009660,U005974,purchase,124.7,2024-07-01 18:51:05,
V0000209,S0008593,U001419,newsletter_signup,0.0,2025-03-17 02:02:37,
V0000210,S0002262,,purchase,89.6,2024-12-04 18:46:53,
V0000211,S0005073,U005901,purchase,121.88,2025-02-15 07:04:47,
V0000212,S0005397,U002461,newsletter_signup,0.0,2024-12-02 11:38:35,C00597
V0000213,S0003379,U005469,purchase,188.21,2025-01-14 02:46:50,
V0000214,S0007088,U000947,purchase,118.41,2025-01-03 03:47:27,C00037
V0000215,S0004833,U009543,newsletter_signup,0.0,2024-08-17 02:20:40,
V0000216,S0002976,U006583,purchase,183.21,2025-09-12 02:02:42,
V0000217,S0005196,,purchase,100.11,2025-05-31 04:56:33,
V0000218,S0009639,U006694,purchase,51.52,2025-05-26 16:07:47,
V0000219,S0009473,U004577,purchase,69.09,2024-01-08 08:27:28,C00163
V0000220,S0008805,U004528,purchase,70.7,2025-05-05 19:42:42,C00500
V0000221,S0008987,U000010,purchase,332.3,2025-10-23 05:22:11,C00087
V0000222,S0002094,,purchase,93.62,2025-05-13 19:08:45,C00507
V0000223,S0005930,,newsletter_signup,0.0,2024-01-09 07:08:29,
V0000224,S0006934,U007751,purchase,90.33,2025-01-06 00:46:52,C00473
V0000225,S0007569,U002317,purchase,82.3,2025-02-24 00:00:28,
V0000226,S0008093,,newsletter_signup,0.0,2024-06-22 05:48:12,
V0000227,S0008107,U000244,purchase,66.66,2025-06-13 21:31:53,
V0000228,S0005725,,purchase,90.16,2025-10-07 19:59:20,
V0000229,S0003612,U008746,newsletter_signup,0.0,2024-10-15 20:20:10,C00759
V0000230,S0005940,U006075,purchase,121.87,2025-01-13 20:44:43,C00709
V0000231,S0001700,U004007,purchase,149.4,2025-08-16 21:01:27,
V0000232,S0000885,,purchase,87.17,2025-11-07 05:43:30,C00509
V0000233,S0008040,,purchase,26.68,2024-05-13 06:39:07,C00346
V0000234,S0004785,U005552,newsletter_signup,0.0,2025-07-02 06:32:07,C00224
V0000235,S0008352,,purchase,39.91,2025-11-04 10:26:58,C00364
V0000236,S0005314,U002463,newsletter_signup,0.0,2025-08-12 12:37:32,
V0000237,S0003432,U001614,purchase,21.04,2025-10-14 16:34:11,
V0000238,S0006331,U005362,newsletter_signup,0.0,2025-08-26 00:25:59,
V0000239,S0000514,U001350,purchase,56.65,2024-08-10 17:36:30,
V0000240,S0001833,U008158,purchase,183.99,2025-07-13 18:15:56,C00346
V0000241,S0006225,,purchase,90.08,2024-02-27 16:09:04,C00196
V0000242,S0009012,,newsletter_signup,0.0,2025-09-19 12:48:12,
V0000243,S0004738,U006839,purchase,184.47,2025-02-07 02:30:28,C00691
V0000244,S0008412,U005707,newsletter_signup,0.0,2024-04-16 16:03:29,C00169
V0000245,S0006564,,purchase,111.17,2025-02-24 18:59:00,C00506
V0000246,S0000134,U005197,newsletter_signup,0.0,2025-10-21 10:25:55,C00780
V0000247,S0001677,U000082,purchase,24.91,2025-10-04 17:24:07,C00387
V0000248,S0000448,U001569,purchase,58.39,2025-02-02 01:30:57,C00094
V0000249,S0003355,,purchase,162.97,2026-01-02 09:32:00,
V0000250,S0003305,U003963,purchase,17.49,2024-05-20 18:00:54,
V0000251,S0008198,U007313,newsletter_signup,0.0,2025-12-12 06:48:57,C00174
V0000252,S0007898,U009423,purchase,66.43,2025-03-27 01:38:12,C00477
V0000253,S0001064,,newsletter_signup,0.0,2025-03-11 21:10:01,C00494
V0000254,S0002782,U002778,newsletter_signup,0.0,2025-08-30 19:04:35,C00011
V0000255,S0000400,U002788,purchase,50.07,2024-07-17 05:50:18,C00758
V0000256,S0009234,U008389,purchase,248.97,2024-05-05 10:46:49,C00652
V0000257,S0004159,,purchase,1200.0,2024-10-17 21:18:39,
V0000258,S0004970,,newsletter_signup,0.0,2025-02-12 03:22:31,C00217
V0000259,S0009688,U009927,purchase,79.93,2025-09-23 15:08:51,C00163
V0000260,S0007166,,NEWSLETTER_SIGNUP,0.0,01-99-2025 25:61:00,
V0000261,S0000665,,newsletter_signup,0.0,2025-08-28 11:31:36,
V0000262,S0001078,,newsletter_signup,0.0,2025-11-27 21:18:45,
V0000263,S0003137,U008146,purchase,107.03,2025-04-30 13:44:38,
V0000264,S0002520,U003079,purchase,181.85,2025-05-14 23:53:28,C00597
V0000265,S0005832,U006951,purchase,68.13,2025-08-16 03:02:51,
V0000266,S0007081,U009338,newsletter_signup,0.0,2024-05-05 20:58:56,
V0000267,S0004462,,purchase,36.81,2025-09-23 06:50:14,C00252
V0000268,S0003326,,purchase,143.97,2024-10-13 07:09:04,C00094
V0000269,S0005087,U005974,newsletter_signup,0.0,2024-05-09 13:51:45,C00319
V0000270,S0004238,U006056,purchase,158.01,2025-04-10 13:09:40,
V0000271,S0006306,U004556,purchase,59.4,2024-07-26 05:27:00,
V0000272,S0008560,U003032,newsletter_signup,0.0,2025-02-12 05:59:12,
V0000273,S0007749,,purchase,119.86,2025-08-21 17:34:23,C00411
V0000274,S0006043,,purchase,117.6,2024-04-02 22:56:57,
V0000275,S0003394,U003472,purchase    ,,2025-03-23 02:41:50,
V0000276,S0009035,U001752,newsletter_signup,0.0,2025-09-16 17:39:29,C00371
V0000277,S0002176,U001939, newsletter_signup ,0.0,2024-08-09 07:57:02,
V0000278,S0005309,U008537,NEWSLETTER_SIGNUP,0.0,2024-11-26 16:18:15,C00258
V0000279,S0009427,U008487,purchase,35.67,2024-06-01 22:54:05,
V0000280,S0006934,U007751,PURCHASE,22.21,2025-01-06 00:50:15,C00473
V0000281,S0009145,U009230,newsletter_signup,0.0,2025-02-11 03:38:32,C00094
V0000282,S0009609,U004276,newsletter_signup,0.0,2025-12-19 18:15:40,C00310
V0000283,S0007088,U000947,newsletter_signup,0.0,2025-01-03 03:36:14,
V0000284,S0008044,U007644,purchase,51.56,2025-10-15 03:44:56,
V0000285,S0005887,,purchase,31.11,2025-02-20 22:33:39,
V0000286,S0005727,U008259,PURCHASE,77.72,2024-02-18 04:25:59,
V0000287,S0000247,,purchase,176.15,2025-07-30 04:19:07,
V0000288,S0000060,,purchase,53.83,2025-03-30 06:53:12,
V0000289,S0004638,U003644,newsletter_signup,0.0,2024-12-31 08:06:37,C00262
V0000290,S0009252,,newsletter_signup,0.0,2025-08-02 06:50:24,C00441
V0000291,S0000680,,newsletter_signup,0.0,2024-07-29 05:29:02,C00494
V0000292,S0001183,U006682,purchase,122.54,2024-09-20 08:59:22,
V0000293,S0007898,U009423,newsletter_signup,0.0,2025-03-27 01:26:59,C00477
V0000294,S0000075,U008748,newsletter_signup,0.0,2024-11-30 19:40:00,C00538
V0000295,S0009639,U006694,newsletter_signup,0.0,2025-05-26 16:12:33,
V0000296,S0007747,,newsletter_signup,0.0,2024-01-12 07:57:05,
V0000297,S0009568,U006070,newsletter_signup,0.0,2025-08-01 01:45:10,C00087
V0000298,S0005613,,purchase,67.0,2025-09-28 09:38:39,C00117
V0000299,S0001276,U005569,purchase,136.66,2025-10-30 10:44:13,C00271
V0000300,S0002032,U009362,purchase,59.69,2025-10-14 18:45:31,
V0000301,S0005538,,newsletter_signup,0.0,2025-07-26 22:36:44,C00435
V0000302,S0001550,,purchase,91.99,2024-05-29 22:37:26,
V0000303,S0000944,U008275,newsletter_signup,0.0,2025-12-11 12:30:24,
V0000304,S0000164,U000038,newsletter_signup,0.0,2025-05-18 06:12:51,
V0000305,S0002137,,newsletter_signup,0.0,not_a_time,C00281
V0000306,S0001734,U001303,newsletter_signup,0.0,2025-11-02 11:44:38,
V0000307,S0000105,U004127,purchase,81.74,2024-08-24 11:55:53,C00500
V0000308,S0003678,U007181,purchase,153.16,2025-03-22 18:42:13,C00355
V0000309,S0001916,U009473,newsletter_signup,0.0,2025-04-17 13:46:58,
V0000310,S0003108,U008825,purchase,42.85,2025-11-01 09:32:54,C00646
V0000311,S0005051,U006855,newsletter_signup,0.0,2025-06-10 10:33:47,C00169
V0000312,S0008446,U009839,purchase,53.79,2024-03-08 23:38:45,C00409
V0000313,S0001338,U000216,purchase,98.91,2024-07-24 00:28:19,
V0000314,S0006460,,purchase,56.84,2025-06-26 18:47:01,
V0000315,S0005701,,purchase,180.39,2025-04-04 12:46:02,
V0000316,S0000715,U002226,purchase,119.68,2025-11-17 15:02:42,C00645
V0000317,S0009296,,purchase,61.67,2025-05-21 01:15:29,
V0000318,S0008357,U001754,newsletter_signup,0.0,2025-08-25 05:51:09,
V0000319,S0005079,U008143,purchase,107.02,2025-09-19 00:12:19,
V0000320,S0009003,,purchase,41.3,2024-12-27 18:04:20,
V0000321,S0002596,,purchase,80.35,2024-06-11 11:47:55,
V0000322,S0008002,U006395,purchase,36.97,2024-05-09 10:45:14,
V0000323,S0006836,,purchase,20.71,2024-03-30 03:23:52,C00269
V0000324,S0008586,U006658,purchase,94.17,2024-10-30 15:25:52,
V0000325,S0005296,U005558,purchase,92.2,2025-03-27 13:34:26,
V0000326,S0006316,U007694,purchase,133.64,2024-06-05 11:04:38,C00061
V0000327,S0009768,U003199,purchase,49.75,2025-08-14 04:15:50,C00420
V0000328,S0003093,U006502,purchase,108.48,2024-08-20 01:29:29,
V0000329,S0002176,U001939,newsletter_signup,0.0,2024-08-09 07:52:12,
V0000330,S0009602,U001041,purchase,1.0,2025-05-13 20:35:41,C00691
V0000331,S0002782,U002778,purchase,99.43,2025-08-30 19:32:04,C00153
V0000332,S0005850,U003728,newsletter_signup,0.0,2024-07-31 15:49:51,C00063
V0000333,S0004217,U001732,purchase,68.81,2025-09-24 00:41:44,
V0000334,S0003659,U006398,  NEWSLETTER_SIGNUP  ,0.0,2024-04-02 00:06:33,C00215
V0000335,S0000764,,purchase,47.59,2024-03-10 21:42:02,
V0000336,S0000775,,purchase,108.56,2025-08-14 17:02:06,
V0000337,S0009538,U007244,newsletter_signup,0.0,2024-07-25 03:17:51,
V0000338,S0001543,U004330,PURCHASE,1200.0,2025-02-21 19:48:57,C00161
V0000339,S0006757,U008235,purchase,26.28,2024-04-11 19:36:36,
V0000340,S0006911,U004402,newsletter_signup,0.0,2025-05-11 03:36:20,C00094
V0000341,S0009781,U004216,newsletter_signup,0.0,2024-01-23 04:18:56,C00058
V0000342,S0003654,U006592,newsletter_signup,0.0,2025-02-09 18:38:01,C00230
V0000343,S0004924,U005602,purchase,102.0,not_a_time,C00582
V0000344,S0000658,U001796,  purchase,71.0,2025-07-16 20:37:02,C00489
V0000345,S0003376,,purchase,94.33,2025-03-31 11:48:05,C00651
V0000346,S0003866,U003937,purchase,134.52,2024-12-05 05:58:50,
V0000347,S0001050,U000949,purchase,72.88,2026-01-14 18:42:33,C00087
V0000348,S0005693,U009085,PURCHASE,73.33,2025-10-16 19:22:40,C00061
V0000349,S0004932,U003632,newsletter_signup,0.0,2025-03-30 00:37:06,
V0000350,S0001089,U001672,newsletter_signup,0.0,2024-11-11 23:41:56,
V0000351,S0002102,U000999,newsletter_signup,0.0,2025-04-06 13:34:17,
V0000352,S0000826,U003205,newsletter_signup,0.0,2024-10-03 20:17:00,C00094
V0000353,S0005170,U007200,purchase,35.21,2025-09-30 11:40:41,
V0000354,S0001306,,purchase,72.37,2024-07-21 06:52:15,C00101
V0000355,S0004662,,purchase,120.03,2024-02-01 13:28:48,C00338
V0000356,S0000204,U002922,purchase,63.28,2024-02-08 12:36:13,C00176
V0000357,S0006623,U006487,newsletter_signup,0.0,2024-03-18 04:17:01,
V0000358,S0003855,,newsletter_signup,0.0,2024-11-11 15:18:52,C00052
V0000359,S0001091,U004134,newsletter_signup,0.0,2025-01-24 09:59:22,C00094
V0000360,S0004736,U006240,newsletter_signup,0.0,2024-02-27 08:11:17,C00217
V0000361,S0004519,,purchase,44.93,2025-09-23 14:22:28,
V0000362,S0009317,,purchase,30.67,2025-03-20 04:09:03,C00050
V0000363,S0007951,U004223,purchase,135.79,2024-03-08 03:04:09,
